DATE,consumer_confidence_index,consumer_price_index,emratio,GDP,house_start,income,median_sales_price,mortgage_rate,population,target,unemployed_rate
2004-01-01,103.8,186.3,62.3,0.0,3822.0,9731.8,212700.0,5.7125,292046.0,141.646,5.7
2004-01-31,0.0,0.0,0.0,11923.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,94.4,186.7,62.3,0.0,3692.0,9765.4,212700.0,5.635,292230.0,143.191,5.6
2004-02-29,0.0,0.0,0.0,11923.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,95.8,187.1,62.2,0.0,3996.0,9815.8,212700.0,5.445,292434.0,145.058,5.8
2004-03-31,0.0,0.0,0.0,11923.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,94.2,187.4,62.3,0.0,4006.0,9865.8,217600.0,5.83,292651.0,146.592,5.6
2004-04-30,0.0,0.0,0.0,12112.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,90.2,188.2,62.3,0.0,3962.0,9950.0,217600.0,6.27,292872.0,148.185,5.6
2004-05-31,0.0,0.0,0.0,12112.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,95.6,188.9,62.4,0.0,3656.0,9988.4,217600.0,6.2875,293103.0,149.85,5.6
2004-06-30,0.0,0.0,0.0,12112.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,96.7,189.1,62.5,0.0,4004.0,10033.0,213500.0,6.056,293350.0,151.337,5.5
2004-07-31,0.0,0.0,0.0,12305.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,95.9,189.2,62.4,0.0,4048.0,10078.2,213500.0,5.8675,293603.0,152.633,5.4
2004-08-31,0.0,0.0,0.0,12305.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,94.2,189.8,62.3,0.0,3810.0,10110.5,213500.0,5.754,293857.0,154.177,5.4
2004-09-30,0.0,0.0,0.0,12305.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,91.7,190.8,62.3,0.0,4144.0,10159.3,228800.0,5.7225,294104.0,155.75,5.5
2004-10-31,0.0,0.0,0.0,12527.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,92.8,191.7,62.5,0.0,3564.0,10171.5,228800.0,5.73,294337.0,157.526,5.4
2004-11-30,0.0,0.0,0.0,12527.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,97.1,191.7,62.4,0.0,4084.0,10520.8,228800.0,5.752,294561.0,159.329,5.4
2004-12-31,0.0,0.0,0.0,12527.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,95.5,191.6,62.4,0.0,4288.0,10247.0,232500.0,5.71,294768.0,161.287,5.3
2005-01-31,0.0,0.0,0.0,12767.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,94.1,192.4,62.4,0.0,4414.0,10282.7,232500.0,5.6275,294955.0,163.343,5.4
2005-02-28,0.0,0.0,0.0,12767.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,92.6,193.1,62.4,0.0,3728.0,10347.9,232500.0,5.928,295149.0,165.812,5.2
2005-03-31,0.0,0.0,0.0,12767.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,87.7,193.7,62.7,0.0,4122.0,10412.1,233700.0,5.855,295359.0,167.501,5.2
2005-04-30,0.0,0.0,0.0,12922.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,86.9,193.6,62.8,0.0,4050.0,10464.1,233700.0,5.72,295582.0,169.35,5.1
2005-05-31,0.0,0.0,0.0,12922.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,96.0,193.7,62.7,0.0,4136.0,10498.0,233700.0,5.582,295824.0,171.19,5.0
2005-06-30,0.0,0.0,0.0,12922.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,96.5,194.9,62.8,0.0,4108.0,10558.3,236400.0,5.695,296077.0,172.859,5.0
2005-07-31,0.0,0.0,0.0,13142.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,89.1,196.1,62.9,0.0,4190.0,10619.6,236400.0,5.82,296338.0,174.443,4.9
2005-08-31,0.0,0.0,0.0,13142.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,76.9,198.8,62.8,0.0,4302.0,10687.7,236400.0,5.774,296606.0,176.437,5.0
2005-09-30,0.0,0.0,0.0,13142.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,74.2,199.1,62.8,0.0,4130.0,10767.3,243600.0,6.065,296857.0,178.026,5.0
2005-10-31,0.0,0.0,0.0,13324.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,81.6,198.1,62.7,0.0,4294.0,10815.4,243600.0,6.33,297089.0,179.68,5.0
2005-11-30,0.0,0.0,0.0,13324.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,91.5,198.1,62.8,0.0,3988.0,10853.1,243600.0,6.272,297311.0,180.909,4.9
2005-12-31,0.0,0.0,0.0,13324.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,91.2,199.3,62.9,0.0,4546.0,11038.6,247700.0,6.145,297526.0,182.32,4.7
2006-01-31,0.0,0.0,0.0,13599.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,86.7,199.4,63.0,0.0,4238.0,11102.6,247700.0,6.2525,297734.0,183.287,4.8
2006-02-28,0.0,0.0,0.0,13599.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,88.9,199.7,63.1,0.0,3938.0,11171.8,247700.0,6.324,297950.0,184.364,4.7
2006-03-31,0.0,0.0,0.0,13599.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,87.4,200.7,63.0,0.0,3642.0,11229.5,246300.0,6.5075,298170.0,184.328,4.7
2006-04-30,0.0,0.0,0.0,13753.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,79.1,201.3,63.1,0.0,3884.0,11251.1,246300.0,6.5975,298401.0,184.155,4.6
2006-05-31,0.0,0.0,0.0,13753.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,84.9,201.8,63.1,0.0,3604.0,11292.8,246300.0,6.682,298653.0,183.506,4.6
2006-06-30,0.0,0.0,0.0,13753.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,84.7,202.9,63.0,0.0,3474.0,11322.1,235600.0,6.7625,298910.0,183.066,4.7
2006-07-31,0.0,0.0,0.0,13870.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,82.0,203.8,63.1,0.0,3300.0,11346.8,235600.0,6.524,299178.0,182.595,4.7
2006-08-31,0.0,0.0,0.0,13870.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,85.4,202.8,63.1,0.0,3440.0,11383.9,235600.0,6.4025,299452.0,182.798,4.5
2006-09-30,0.0,0.0,0.0,13870.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,93.6,201.9,63.3,0.0,2982.0,11417.8,245400.0,6.3575,299710.0,183.197,4.4
2006-10-31,0.0,0.0,0.0,14039.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,92.1,202.0,63.3,0.0,3140.0,11479.3,245400.0,6.24,299950.0,183.608,4.5
2006-11-30,0.0,0.0,0.0,14039.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,91.7,203.1,63.4,0.0,3298.0,11587.6,245400.0,6.135,300178.0,184.138,4.4
2006-12-31,0.0,0.0,0.0,14039.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,96.9,203.437,63.3,0.0,2818.0,11647.1,257400.0,6.2175,300398.0,184.515,4.6
2007-01-31,0.0,0.0,0.0,14215.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,91.3,204.226,63.3,0.0,2960.0,11734.2,257400.0,6.285,300608.0,184.597,4.5
2007-02-28,0.0,0.0,0.0,14215.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,88.4,205.288,63.3,0.0,2990.0,11821.4,257400.0,6.156,300823.0,184.149,4.4
2007-03-31,0.0,0.0,0.0,14215.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,87.1,205.904,63.0,0.0,2980.0,11868.1,242200.0,6.18,301045.0,183.009,4.5
2007-04-30,0.0,0.0,0.0,14402.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,88.3,206.755,63.0,0.0,2830.0,11908.7,242200.0,6.262,301278.0,181.6,4.4
2007-05-31,0.0,0.0,0.0,14402.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,85.3,207.234,63.0,0.0,2896.0,11929.2,242200.0,6.6575,301528.0,180.253,4.6
2007-06-30,0.0,0.0,0.0,14402.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,90.4,207.603,62.9,0.0,2708.0,11955.7,241800.0,6.695,301790.0,179.109,4.7
2007-07-31,0.0,0.0,0.0,14564.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,83.4,207.667,62.7,0.0,2660.0,11963.1,241800.0,6.572,302064.0,178.116,4.6
2007-08-31,0.0,0.0,0.0,14564.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,83.4,208.547,62.9,0.0,2366.0,12025.5,241800.0,6.3825,302334.0,177.556,4.7
2007-09-30,0.0,0.0,0.0,14564.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,80.9,209.19,62.7,0.0,2528.0,12046.8,238400.0,6.375,302590.0,176.623,4.7
2007-10-31,0.0,0.0,0.0,14715.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,76.1,210.834,62.9,0.0,2394.0,12102.8,238400.0,6.208,302834.0,175.146,4.7
2007-11-30,0.0,0.0,0.0,14715.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,75.5,211.445,62.7,0.0,2074.0,12182.7,238400.0,6.095,303062.0,174.341,5.0
2007-12-31,0.0,0.0,0.0,14715.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,78.4,212.174,62.9,0.0,2168.0,12227.8,233900.0,5.758,303280.0,173.131,5.0
2008-01-31,0.0,0.0,0.0,14706.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,70.8,212.687,62.8,0.0,2206.0,12264.9,233900.0,5.9175,303494.0,171.539,4.9
2008-02-29,0.0,0.0,0.0,14706.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,69.5,213.448,62.7,0.0,2010.0,12314.7,233900.0,5.97,303707.0,170.051,5.1
2008-03-31,0.0,0.0,0.0,14706.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,62.6,213.942,62.7,0.0,2026.0,12302.6,235300.0,5.9175,303926.0,168.336,5.0
2008-04-30,0.0,0.0,0.0,14865.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,59.8,215.208,62.5,0.0,1946.0,12879.3,235300.0,6.036,304157.0,166.657,5.4
2008-05-31,0.0,0.0,0.0,14865.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,56.4,217.463,62.4,0.0,2092.0,12661.0,235300.0,6.32,304396.0,165.016,5.6
2008-06-30,0.0,0.0,0.0,14865.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,61.2,219.016,62.2,0.0,1846.0,12514.8,226500.0,6.426,304646.0,163.564,5.8
2008-07-31,0.0,0.0,0.0,14898.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,63.0,218.69,62.0,0.0,1688.0,12426.0,226500.0,6.4775,304903.0,161.987,6.1
2008-08-31,0.0,0.0,0.0,14898.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,70.3,218.877,61.9,0.0,1640.0,12445.0,226500.0,6.0375,305158.0,160.306,6.1
2008-09-30,0.0,0.0,0.0,14898.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,57.6,216.995,61.7,0.0,1554.0,12446.5,222500.0,6.2,305403.0,158.326,6.5
2008-10-31,0.0,0.0,0.0,14608.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,55.3,213.153,61.4,0.0,1304.0,12387.1,222500.0,6.0875,305620.0,156.141,6.8
2008-11-30,0.0,0.0,0.0,14608.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,60.1,211.398,61.0,0.0,1120.0,12238.5,222500.0,5.286,305827.0,153.618,7.3
2008-12-31,0.0,0.0,0.0,14608.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,61.2,211.933,60.6,0.0,980.0,12125.6,208400.0,5.0475,306035.0,151.507,7.8
2009-01-31,0.0,0.0,0.0,14430.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,56.3,212.705,60.3,0.0,1164.0,12007.4,208400.0,5.13,306237.0,150.015,8.3
2009-02-28,0.0,0.0,0.0,14430.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,57.3,212.495,59.9,0.0,1010.0,11965.3,208400.0,5.0025,306438.0,148.66,8.7
2009-03-31,0.0,0.0,0.0,14430.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,65.1,212.709,59.8,0.0,956.0,12009.4,220900.0,4.81,306645.0,147.947,9.0
2009-04-30,0.0,0.0,0.0,14381.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,68.7,213.022,59.6,0.0,1080.0,12179.6,220900.0,4.8575,306863.0,147.692,9.4
2009-05-31,0.0,0.0,0.0,14381.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,70.8,214.79,59.4,0.0,1170.0,12042.9,220900.0,5.42,307090.0,148.088,9.5
2009-06-30,0.0,0.0,0.0,14381.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,66.0,214.726,59.3,0.0,1188.0,11998.4,214300.0,5.222,307322.0,148.407,9.5
2009-07-31,0.0,0.0,0.0,14448.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,65.7,215.445,59.1,0.0,1172.0,12011.2,214300.0,5.1925,307570.0,148.277,9.6
2009-08-31,0.0,0.0,0.0,14448.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,73.5,215.861,58.7,0.0,1170.0,12061.1,214300.0,5.0575,307826.0,148.024,9.8
2009-09-30,0.0,0.0,0.0,14448.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,70.6,216.509,58.5,0.0,1068.0,12069.4,219000.0,4.952,308071.0,147.85,10.0
2009-10-31,0.0,0.0,0.0,14651.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,67.4,217.234,58.6,0.0,1176.0,12129.6,219000.0,4.875,308289.0,148.135,9.9
2009-11-30,0.0,0.0,0.0,14651.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,72.5,217.347,58.3,0.0,1162.0,12188.2,219000.0,4.93,308495.0,147.928,9.9
2009-12-31,0.0,0.0,0.0,14651.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,74.4,217.488,58.5,0.0,1228.0,12267.7,222900.0,5.03,308706.0,147.396,9.8
2010-01-31,0.0,0.0,0.0,14764.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,73.6,217.281,58.5,0.0,1208.0,12267.6,222900.0,4.99,308904.0,145.631,9.8
2010-02-28,0.0,0.0,0.0,14764.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,73.6,217.353,58.5,0.0,1272.0,12330.9,222900.0,4.9675,309095.0,145.858,9.9
2010-03-31,0.0,0.0,0.0,14764.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,72.2,217.403,58.7,0.0,1374.0,12441.8,219500.0,5.098,309289.0,146.403,9.9
2010-04-30,0.0,0.0,0.0,14980.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,73.6,217.29,58.6,0.0,1166.0,12543.7,219500.0,4.8875,309485.0,146.394,9.6
2010-05-31,0.0,0.0,0.0,14980.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,76.0,217.199,58.5,0.0,1072.0,12550.7,219500.0,4.7375,309691.0,145.72,9.4
2010-06-30,0.0,0.0,0.0,14980.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,67.8,217.605,58.5,0.0,1092.0,12588.7,224100.0,4.564,309913.0,144.989,9.4
2010-07-31,0.0,0.0,0.0,15141.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,68.9,217.923,58.6,0.0,1198.0,12652.9,224100.0,4.4275,310146.0,143.914,9.5
2010-08-31,0.0,0.0,0.0,15141.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,68.2,218.275,58.5,0.0,1188.0,12673.4,224100.0,4.346,310385.0,143.017,9.5
2010-09-30,0.0,0.0,0.0,15141.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,67.7,219.035,58.3,0.0,1086.0,12723.6,224300.0,4.225,310612.0,142.528,9.4
2010-10-31,0.0,0.0,0.0,15309.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,71.6,219.59,58.2,0.0,1090.0,12765.5,224300.0,4.3,310820.0,142.169,9.8
2010-11-30,0.0,0.0,0.0,15309.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
